TITLE     = ""
VARIABLES = "x [m]"
"r [m]"
ZONE T="Ogive Surface"
 STRANDID=0, SOLUTIONTIME=0
 I=8000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.370345503091812134E-02 3.958798944950103760E-03
 6.371618062257766724E-02 3.996719606220722198E-03
 6.372903287410736084E-02 4.034599289298057556E-03
 6.374200433492660522E-02 4.072437528520822525E-03
 6.375509500503540039E-02 4.110234323889017105E-03
 6.376831233501434326E-02 4.147989209741353989E-03
 6.378164142370223999E-02 4.185701254755258560E-03
 6.379509717226028442E-02 4.223370458930730820E-03
 6.380867213010787964E-02 4.260996356606483459E-03
 6.382236629724502563E-02 4.298578947782516479E-03
 6.383618712425231934E-02 4.336117301136255264E-03
 6.385011970996856689E-02 4.373611416667699814E-03
 6.386417150497436523E-02 4.411060363054275513E-03
 6.387834995985031128E-02 4.448464605957269669E-03
 6.389264762401580811E-02 4.485822748392820358E-03
 6.390705704689025879E-02 4.523135256022214890E-03
 6.392159312963485718E-02 4.560401663184165955E-03
 6.393624842166900635E-02 4.597621038556098938E-03
 6.395101547241210938E-02 4.634793382138013840E-03
 6.396590918302536011E-02 4.671918693929910660E-03
 6.398091465234756470E-02 4.708995576947927475E-03
 6.399604678153991699E-02 4.746024496853351593E-03
 6.401129066944122314E-02 4.783004987984895706E-03
 6.402665376663208008E-02 4.819936119019985199E-03
 6.404214352369308472E-02 4.856818355619907379E-03
 6.405773758888244629E-02 4.893650300800800323E-03
 6.407345831394195557E-02 4.930432885885238647E-03
 6.408929824829101562E-02 4.967164248228073120E-03
 6.410524994134902954E-02 5.003845319151878357E-03
 6.412132084369659424E-02 5.040474701672792435E-03
 6.413751095533370972E-02 5.077052395790815353E-03
 6.415381282567977905E-02 5.113578401505947113E-03
 6.417023390531539917E-02 5.150052253156900406E-03
 6.418677419424057007E-02 5.186473019421100616E-03
 6.420342624187469482E-02 5.222840700298547745E-03
 6.422019749879837036E-02 5.259154830127954483E-03
 6.423708796501159668E-02 5.295415408909320831E-03
 6.425409018993377686E-02 5.331621505320072174E-03
 6.427121162414550781E-02 5.367773119360208511E-03
 6.428844481706619263E-02 5.403869785368442535E-03
 6.430579721927642822E-02 5.439911037683486938E-03
 6.432326138019561768E-02 5.475896410644054413E-03
 6.434083729982376099E-02 5.511825904250144958E-03
 6.435853242874145508E-02 5.547699052840471268E-03
 6.437634676694869995E-02 5.583515390753746033E-03
 6.439427286386489868E-02 5.619274452328681946E-03
 6.441231071949005127E-02 5.654976237565279007E-03
 6.443046033382415771E-02 5.690619815140962601E-03
 6.444872915744781494E-02 5.726205185055732727E-03
 6.446710973978042603E-02 5.761731881648302078E-03
 6.448560208082199097E-02 5.797199439257383347E-03
 6.450421363115310669E-02 5.832607857882976532E-03
 6.452292948961257935E-02 5.867956671863794327E-03
 6.454176455736160278E-02 5.903244949877262115E-03
 6.456071138381958008E-02 5.938473157584667206E-03
 6.457976996898651123E-02 5.973640363663434982E-03
 6.459894031286239624E-02 6.008746568113565445E-03
 6.461822986602783203E-02 6.043791305273771286E-03
 6.463762372732162476E-02 6.078773643821477890E-03
 6.465712934732437134E-02 6.113694049417972565E-03
 6.467675417661666870E-02 6.148552056401968002E-03
 6.469648331403732300E-02 6.183347199112176895E-03
 6.471632421016693115E-02 6.218078546226024628E-03
 6.473627686500549316E-02 6.252746563404798508E-03
 6.475634127855300903E-02 6.287350319325923920E-03
 6.477651745080947876E-02 6.321889813989400864E-03
 6.479680538177490234E-02 6.356364581733942032E-03
 6.481719762086868286E-02 6.390774156898260117E-03
 6.483770161867141724E-02 6.425118539482355118E-03
 6.485831737518310547E-02 6.459396798163652420E-03
 6.487904489040374756E-02 6.493608932942152023E-03
 6.489987671375274658E-02 6.527754943817853928E-03
 6.492082029581069946E-02 6.561833899468183517E-03
 6.494187563657760620E-02 6.595845799893140793E-03
 6.496303528547286987E-02 6.629789713770151138E-03
 6.498430669307708740E-02 6.663666106760501862E-03
 6.500568240880966187E-02 6.697474047541618347E-03
 6.502716988325119019E-02 6.731213536113500595E-03
 6.504876166582107544E-02 6.764884106814861298E-03
 6.507046520709991455E-02 6.798485759645700455E-03
 6.509227305650711060E-02 6.832017097622156143E-03
 6.511418521404266357E-02 6.865479052066802979E-03
 6.513620913028717041E-02 6.898870225995779037E-03
 6.515833735466003418E-02 6.932191085070371628E-03
 6.518057733774185181E-02 6.965441163629293442E-03
 6.520292162895202637E-02 6.998619530349969864E-03
 6.522537022829055786E-02 7.031726185232400894E-03
 6.524792313575744629E-02 7.064761128276586533E-03
 6.527058035135269165E-02 7.097723428159952164E-03
 6.529334932565689087E-02 7.130613084882497787E-03
 6.531621515750885010E-02 7.163430098444223404E-03
 6.533919274806976318E-02 7.196173537522554398E-03
 6.536227464675903320E-02 7.228842936456203461E-03
 6.538546085357666016E-02 7.261438760906457901E-03
 6.540874391794204712E-02 7.293960079550743103E-03
 6.543213874101638794E-02 7.326406892389059067E-03
 6.545563787221908569E-02 7.358778268098831177E-03
 6.547923386096954346E-02 7.391074672341346741E-03
 6.550294160842895508E-02 7.423295173794031143E-03
 6.552674621343612671E-02 7.455439772456884384E-03
 6.555065512657165527E-02 7.487508002668619156E-03
 6.557466089725494385E-02 7.519499398767948151E-03
 6.559877842664718628E-02 7.551413960754871368E-03
 6.562299281358718872E-02 7.583251222968101501E-03
 6.564731150865554810E-02 7.615011185407638550E-03
 6.567172706127166748E-02 7.646692451089620590E-03
 6.569624692201614380E-02 7.678295951336622238E-03
 6.572087109088897705E-02 7.709820754826068878E-03
 6.574559211730957031E-02 7.741266395896673203E-03
 6.577041745185852051E-02 7.772632874548435211E-03
 6.579533964395523071E-02 7.803919725120067596E-03
 6.582035869359970093E-02 7.835126481950283051E-03
 6.584548205137252808E-02 7.866253145039081573E-03
 6.587070226669311523E-02 7.897299714386463165E-03
 6.589602679014205933E-02 7.928264327347278595E-03
 6.592144072055816650E-02 7.959148846566677094E-03
 6.594695895910263062E-02 7.989951409399509430E-03
 6.597258150577545166E-02 8.020672015845775604E-03
 6.599829345941543579E-02 8.051310665905475616E-03
 6.602410972118377686E-02 8.081867359578609467E-03
 6.605001538991928101E-02 8.112340234220027924E-03
 6.607602536678314209E-02 8.142731152474880219E-03
 6.610213220119476318E-02 8.173038251698017120E-03
 6.612833589315414429E-02 8.203261531889438629E-03
 6.615462899208068848E-02 8.233400061726570129E-03
 6.618102639913558960E-02 8.263455703854560852E-03
 6.620752066373825073E-02 8.293425664305686951E-03
 6.623410433530807495E-02 8.323311805725097656E-03
 6.626078486442565918E-02 8.353111334145069122E-03
 6.628756225109100342E-02 8.382826112210750580E-03
 6.631443649530410767E-02 8.412455208599567413E-03
 6.634140759706497192E-02 8.441997691988945007E-03
 6.636846810579299927E-02 8.471454493701457977E-03
 6.639562547206878662E-02 8.500823751091957092E-03
 6.642287224531173706E-02 8.530106395483016968E-03
 6.645021587610244751E-02 8.559301495552062988E-03
 6.647764891386032104E-02 8.588409051299095154E-03
 6.650517880916595459E-02 8.617428131401538849E-03
 6.653280556201934814E-02 8.646359667181968689E-03
 6.656051427125930786E-02 8.675201795995235443E-03
 6.658832728862762451E-02 8.703956380486488342E-03
 6.661622226238250732E-02 8.732620626688003540E-03
 6.664421409368515015E-02 8.761196397244930267E-03
 6.667229533195495605E-02 8.789681829512119293E-03
 6.670046597719192505E-02 8.818077854812145233E-03
 6.672872602939605713E-02 8.846382610499858856E-03
 6.675708293914794922E-02 8.874597959220409393E-03
 6.678552925586700439E-02 8.902721107006072998E-03
 6.681405752897262573E-02 8.930753916501998901E-03
 6.684268265962600708E-02 8.958695456385612488E-03
 6.687139719724655151E-02 8.986544795334339142E-03
 6.690019369125366211E-02 9.014302864670753479E-03
 6.692908704280853271E-02 9.041967801749706268E-03
 6.695806235074996948E-02 9.069540537893772125E-03
 6.698713451623916626E-02 9.097020141780376434E-03
 6.701628863811492920E-02 9.124406613409519196E-03
 6.704552471637725830E-02 9.151699952781200409E-03
 6.707485765218734741E-02 9.178899228572845459E-03
 6.710427254438400269E-02 9.206004440784454346E-03
 6.713377684354782104E-02 9.233015589416027069E-03
 6.716336309909820557E-02 9.259932674467563629E-03
 6.719303876161575317E-02 9.286754764616489410E-03
 6.722279638051986694E-02 9.313480928540229797E-03
 6.725264340639114380E-02 9.340112097561359406E-03
 6.728257238864898682E-02 9.366648271679878235E-03
 6.731259077787399292E-02 9.393087588250637054E-03
 6.734269112348556519E-02 9.419430978596210480E-03
 6.737287342548370361E-02 9.445678442716598511E-03
 6.740314513444900513E-02 9.471829049289226532E-03
 6.743349879980087280E-02 9.497882798314094543E-03
 6.746392697095870972E-02 9.523838758468627930E-03
 6.749444454908370972E-02 9.549696929752826691E-03
 6.752505153417587280E-02 9.575458243489265442E-03
 6.755573302507400513E-02 9.601120837032794952E-03
 6.758649647235870361E-02 9.626685641705989838E-03
 6.761734187602996826E-02 9.652151726186275482E-03
 6.764826923608779907E-02 9.677518159151077271E-03
 6.767927855253219604E-02 9.702786803245544434E-03
 6.771036982536315918E-02 9.727954864501953125E-03
 6.774153560400009155E-02 9.753024205565452576E-03
 6.777278333902359009E-02 9.777992963790893555E-03
 6.780411303043365479E-02 9.802862070500850677E-03
 6.783552467823028564E-02 9.827630594372749329E-03
 6.786701083183288574E-02 9.852298535406589508E-03
 6.789857894182205200E-02 9.876865893602371216E-03
 6.793022155761718750E-02 9.901331737637519836E-03
 6.796194612979888916E-02 9.925696067512035370E-03
 6.799374520778656006E-02 9.949959814548492432E-03
 6.802562624216079712E-02 9.974120184779167175E-03
 6.805758178234100342E-02 9.998179040849208832E-03
 6.808961182832717896E-02 1.002213545143604279E-02
 6.812172383069992065E-02 1.004598941653966904E-02
 6.815391033887863159E-02 1.006974093616008759E-02
 6.818617135286331177E-02 1.009338907897472382E-02
 6.821850687265396118E-02 1.011693291366100311E-02
 6.825091689825057983E-02 1.014037430286407471E-02
 6.828340142965316772E-02 1.016371138393878937E-02
 6.831596791744232178E-02 1.018694415688514709E-02
 6.834860146045684814E-02 1.021007355302572250E-02
 6.838130950927734375E-02 1.023309770971536636E-02
 6.841409206390380859E-02 1.025601662695407867E-02
 6.844694912433624268E-02 1.027883123606443405E-02
 6.847988069057464600E-02 1.030154060572385788E-02
 6.851287931203842163E-02 1.032414380460977554E-02
 6.854595243930816650E-02 1.034664176404476166E-02
 6.857910007238388062E-02 1.036903355270624161E-02
 6.861231476068496704E-02 1.039131917059421539E-02
 6.864560395479202271E-02 1.041349861770868301E-02
 6.867896020412445068E-02 1.043557189404964447E-02
 6.871239095926284790E-02 1.045753806829452515E-02
 6.874588876962661743E-02 1.047939620912075043E-02
 6.877945363521575928E-02 1.050114817917346954E-02
 6.881309300661087036E-02 1.052279211580753326E-02
 6.884679943323135376E-02 1.054432801902294159E-02
 6.888058036565780640E-02 1.056575682014226913E-02
 6.891442090272903442E-02 1.058707665652036667E-02
